Division Name,Zila Name,Upazila Name,Total Population (N),Rural Population (%),Working-age population (N),Number of Households (N),Poverty headcount ratio (%),Extreme poverty headcount ratio (%),Primary employment: Agriculture (%),Primary employment: Industry (%),Primary employment: Services (%),Households with Electricity (%),Households with flush toilet (%),"Households with non-flush, latrine (%)",Literate population (18 years and older) (%), Educational attainment: Less than primary completed (18 years and older) (%), Educational attainment: Primary completed (18 years and older) (%), Educational attainment: Secondary completed (18 years and older)(%), Educational attainment: University completed (18 years and older) (%),School attendance among 6-18 years old (%),School attendance among 6-10 years old (%),School attendance among 11-13 years old (%),School attendance among 14-15 years old (%),School attendance among 16-18 years old (%),Percentage of underweight children (%),Percentage of severely underweight children (%),Percentage of stunted children (%),Percentage of severely stunted children (%),Households with tap water (%),Households with tubewell water (%),"Households without toilet, open defecation (%)"
RANGPUR,DINAJPUR,BIRGANJ,313580,93.8,193100,73900,43.1,24.8,72.5,3.7,23.8,34.2,30.6,16.7,43.7,57.0,30.8,10.0,2.1,73.8,82.6,81.7,61.0,37.9,34.3,7.9,41.1,19.4,0.5,96.8,21.4
RANGPUR,DINAJPUR,BOCHAGANJ,158020,82.4,98700,39240,38.4,21.0,69.0,7.6,23.4,29.5,46.9,12.2,49.1,52.5,32.0,12.1,3.4,75.7,82.0,85.1,68.9,40.9,33.5,7.6,39.9,18.6,1.1,98.0,24.5
RANGPUR,PANCHAGARH,BODA,231020,92.6,141580,56120,26.6,12.0,72.3,3.7,23.9,23.0,21.8,35.4,47.3,52.4,35.0,10.2,2.4,75.9,83.6,82.2,67.9,43.7,33.9,7.7,40.1,18.8,0.5,95.8,15.3
RANGPUR,KURIGRAM,CHAR RAJIBPUR,76500,79.7,42620,17300,68.8,48.7,78.1,2.9,19.0,17.6,20.5,51.0,32.5,69.9,20.8,7.1,2.3,79.0,83.5,85.4,71.2,39.2,41.1,10.6,42.1,20.1,0.0,97.8,4.9
RANGPUR,KURIGRAM,CHILMARI,122980,62.5,70000,30980,61.1,42.1,69.8,2.8,27.4,22.9,19.2,40.2,35.6,65.3,22.6,9.8,2.3,73.4,75.6,85.6,66.1,37.3,40.3,10.2,44.5,21.5,0.1,96.2,14.8
RANGPUR,DINAJPUR,CHIRIRBANDAR,288580,97.2,178680,68440,38.5,22.6,69.7,4.9,25.4,34.1,19.1,16.5,49.3,49.7,34.4,13.2,2.8,77.9,84.0,87.4,72.4,43.3,33.0,7.4,41.5,19.6,0.8,97.0,23.4
RANGPUR,PANCHAGARH,DEBIGANJ,226860,93.3,133080,52420,34.2,16.6,75.2,4.3,20.5,22.5,21.2,23.2,42.3,59.2,30.2,8.4,2.2,75.6,84.3,81.4,62.6,41.0,35.6,8.3,41.4,19.5,0.5,96.6,18.8
RANGPUR,NILPHAMARI,DIMLA,281760,92.8,161500,63540,35.2,17.4,82.1,3.7,14.2,25.4,7.8,19.2,37.3,63.9,25.4,8.9,1.8,71.5,77.8,78.1,59.5,38.4,38.1,9.3,43.2,20.9,0.1,95.5,12.2
RANGPUR,DINAJPUR,DINAJPUR SADAR,485740,61.4,321500,111760,28.2,16.5,35.1,8.8,56.1,65.6,38.4,15.9,64.0,37.1,35.2,20.5,7.2,75.4,82.7,81.8,65.9,54.2,28.4,5.9,39.2,18.1,4.7,93.0,22.7
RANGPUR,NILPHAMARI,DOMAR,247180,83.7,144560,58020,31.3,15.5,73.0,6.3,20.7,33.5,13.4,30.0,45.2,55.7,33.0,9.0,2.2,73.9,83.1,80.5,61.5,32.4,35.8,8.4,42.3,20.1,0.8,95.6,16.3
RANGPUR,DINAJPUR,FULBARI,179660,80.4,115340,43120,33.8,17.8,64.6,5.7,29.6,42.1,39.7,13.0,51.3,47.6,36.9,12.5,3.0,73.8,81.2,84.6,63.9,42.5,32.7,7.3,39.8,18.4,1.3,97.5,19.9
RANGPUR,GAIBANDHA,FULCHHARI,164700,96.3,94100,40500,58.1,39.8,79.0,3.2,17.8,23.6,9.5,31.0,27.2,73.6,18.2,7.0,1.2,63.7,68.8,73.3,55.1,26.0,41.1,10.5,44.5,21.6,0.1,94.3,19.4
RANGPUR,GAIBANDHA,GAIBANDHA SADAR,445680,78.9,272860,109620,44.8,28.3,55.0,5.7,39.3,39.1,10.5,15.2,44.2,56.9,25.9,13.3,3.9,69.5,73.9,79.2,61.6,39.6,36.4,8.8,44.1,21.5,4.4,91.0,26.6
RANGPUR,RANGPUR,GANGACHARA,296920,95.8,177420,73480,58.3,39.0,71.8,4.9,23.2,31.9,18.6,23.8,37.5,64.4,25.1,8.8,1.7,69.7,75.0,81.8,59.0,33.3,36.7,8.8,43.1,20.6,0.1,97.4,25.3
RANGPUR,DINAJPUR,GHORAGHAT,118660,80.7,72760,30080,41.8,24.3,71.7,4.5,23.8,40.0,40.2,19.3,43.1,58.4,28.4,10.3,2.9,75.5,81.8,83.8,64.8,36.8,35.1,8.2,41.3,19.3,1.4,95.1,11.5
RANGPUR,GAIBANDHA,GOBINDAGANJ,513620,92.3,315220,132580,45.4,29.0,71.7,6.0,22.3,33.1,13.0,17.2,38.7,61.9,25.4,10.3,2.4,72.0,76.4,82.1,64.2,38.9,36.2,8.6,42.8,20.4,0.8,95.4,32.4
RANGPUR,DINAJPUR,HAKIMPUR,90760,70.0,58740,22880,38.9,22.4,60.7,4.5,34.8,58.0,39.5,21.6,55.2,44.7,39.3,13.1,2.9,76.4,85.7,87.8,68.3,31.3,31.7,6.9,38.8,17.8,0.4,97.7,12.0
RANGPUR,THAKURGAON,HARIPUR,145860,95.3,84760,32600,29.7,13.1,86.7,1.7,11.6,22.9,22.9,14.8,37.6,63.0,25.7,8.7,2.6,73.3,80.2,82.2,59.2,37.8,37.3,8.9,41.8,19.6,0.2,98.4,22.5
RANGPUR,LALMONIRHAT,HATIBANDHA,237520,100.0,136120,53140,38.1,18.4,80.2,5.6,14.2,12.3,18.9,36.4,39.1,61.3,27.7,8.9,2.1,77.6,82.1,84.1,68.8,48.5,36.8,8.8,40.8,19.1,0.2,98.5,6.4
RANGPUR,NILPHAMARI,JALDHAKA,342940,86.2,201300,79000,43.5,24.9,79.6,4.5,15.8,26.8,15.2,19.1,33.2,67.4,22.6,8.0,2.0,71.8,80.7,77.7,58.1,37.1,39.3,9.8,44.1,21.6,0.1,97.9,15.0
RANGPUR,DINAJPUR,KAHAROLE,152600,95.3,96380,36760,44.3,25.6,73.4,5.1,21.5,26.8,33.4,11.9,47.5,55.1,31.6,10.8,2.4,76.5,85.3,83.3,64.2,39.1,33.4,7.5,41.1,19.3,0.3,98.5,23.5
RANGPUR,LALMONIRHAT,KALIGANJ,240340,91.9,143180,58140,35.3,16.6,78.7,5.3,16.0,15.8,42.9,30.6,42.6,58.6,29.8,9.3,2.3,75.3,80.1,85.0,66.5,42.3,36.5,8.6,39.6,18.3,0.3,98.3,8.4
RANGPUR,RANGPUR,KAUNIA,224660,72.9,138820,56260,45.0,33.2,59.1,15.1,25.8,49.5,14.1,33.3,39.6,60.6,24.3,12.1,3.0,68.6,73.4,76.7,59.2,42.0,37.2,9.1,43.8,21.3,0.4,97.3,19.4
RANGPUR,DINAJPUR,KHANSAMA,174240,94.9,105700,39440,46.5,25.8,74.1,5.1,20.8,20.9,33.2,14.6,43.0,56.6,29.1,11.2,3.1,76.9,83.9,82.3,72.3,42.9,35.0,8.1,41.8,19.8,0.3,97.4,15.2
RANGPUR,NILPHAMARI,KISHOREGANJ,262460,96.8,156060,65800,30.9,14.7,80.0,3.5,16.5,28.5,3.2,9.0,33.0,66.9,22.2,8.9,1.9,70.0,76.1,79.4,56.4,37.0,38.0,9.2,44.8,21.9,0.1,96.1,44.1
RANGPUR,KURIGRAM,KURIGRAM SADAR,313520,74.5,185580,72620,58.0,40.5,52.5,5.5,42.0,33.2,15.8,22.4,42.0,58.5,25.2,12.5,3.7,70.9,75.6,79.6,63.9,40.0,38.1,9.4,44.9,22.1,3.9,93.3,13.9
RANGPUR,LALMONIRHAT,LALMONIRHAT SADAR,332840,81.7,204020,79140,31.3,15.1,61.4,5.1,33.5,29.2,22.3,29.9,44.4,57.1,28.4,11.4,3.2,72.7,76.9,79.3,68.5,45.0,36.2,8.6,43.0,20.7,1.9,95.4,10.2
RANGPUR,RANGPUR,MITHA PUKUR,511620,98.6,315840,135060,45.4,29.0,74.0,4.6,21.4,24.5,8.8,18.3,42.1,58.8,29.0,9.9,2.3,72.8,78.0,84.0,62.5,35.1,35.0,8.1,42.6,20.3,0.3,97.1,25.3
RANGPUR,KURIGRAM,NAGESHWARI,388900,83.9,225400,94100,65.0,45.4,78.6,3.4,18.0,17.8,21.0,37.3,35.0,66.9,23.5,7.6,2.1,66.4,70.8,77.7,56.6,31.0,40.2,10.2,42.6,20.2,0.2,96.9,9.8
RANGPUR,DINAJPUR,NAWABGANJ,232120,96.8,143620,57840,37.3,20.5,76.3,6.4,17.3,31.6,33.9,18.4,40.2,58.1,30.0,9.6,2.3,72.7,77.6,86.1,65.7,35.6,35.8,8.4,41.5,19.5,0.8,96.7,20.4
RANGPUR,NILPHAMARI,NILPHAMARI SADAR,435600,90.1,258880,97060,36.4,21.0,66.6,6.0,27.5,36.1,16.3,13.2,40.5,61.0,26.1,10.2,2.7,72.3,79.3,79.4,61.2,38.3,36.2,8.5,43.9,21.2,0.8,96.8,25.2
RANGPUR,GAIBANDHA,PALASHBARI,245140,90.7,147060,63300,44.8,27.1,66.9,6.7,26.5,30.8,12.3,15.5,43.8,57.8,26.5,13.2,2.5,74.6,78.9,84.7,68.9,41.6,35.5,8.3,42.3,20.2,0.6,96.2,28.9
RANGPUR,PANCHAGARH,PANCHAGARH SADAR,270300,83.4,162940,60120,24.2,11.2,54.2,8.6,37.2,31.0,56.4,27.4,48.4,51.3,33.0,11.9,3.7,73.8,82.5,80.1,61.0,42.3,33.3,7.5,40.6,18.8,3.8,90.8,8.4
RANGPUR,DINAJPUR,PARBATIPUR,363280,89.1,225700,88740,39.7,22.1,65.2,5.1,29.8,38.2,23.4,13.7,50.4,49.2,34.0,13.6,3.1,75.5,81.8,84.9,66.7,42.4,32.7,7.3,41.2,19.4,1.6,96.2,32.6
RANGPUR,LALMONIRHAT,PATGRAM,216400,86.2,124060,47920,33.3,17.0,69.8,3.2,27.0,19.4,17.6,21.0,42.5,59.1,31.8,7.4,1.7,71.8,78.4,80.7,58.3,32.1,36.6,8.7,44.3,21.3,0.1,94.7,17.4
